uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,riparianWaterDepth,wettedWidth,bankLR,boatToShoreDist,estVisibilityDist,riparianSubsystem,riparianClass,riparianSubclass,riparianDominantVegetation,scientificName,bigTreeType,bigTreeCoverClass,smallTreeType,smallTreeCoverClass,woodyShrubSaplingType,woodyShrubSaplingCoverClass,tallHerbType,tallHerbCoverClass,woodyShrubGroundCoverClass,shortHerbCoverClass,standingWaterCoverClass,bareDirtCoverClass,buildingPresence,roadPresence,boatRampPresence,lawnsParksPresence,agriculturePresence,industryPresence,pavementPresence,trashPresence,adjacentAreaLeftRemarks,adjacentAreaRightRemarks,dominantBankAngle,subdominantBankAngle,bankUndercut,dominantBankRevetment,subdominantBankRevetment,dominantBankTexture,subdominantBankTexture,remarks,collectedBy,recordedBy,dataQF
"fc462c15-f42b-4226-abba-1553b8500bd6","D07","LECO","LECO.AOS.riparian.transect.04","LECO.04.20190917.R",,1,35.691685,-83.504135,"WGS84",0.4,544.6,0.8,"2019-09-17T15:17Z","NEON.DOC.003826vD",31.0,3.60,"Right",,"40","stream","Forested","Broad-leaved Deciduous","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"71f301ae-e7f2-44cd-bda9-601aeac20e87","D07","LECO","LECO.AOS.riparian.transect.03","LECO.03.20190917.L",,1,35.692241,-83.504535,"WGS84",0.7,539.7,1.0,"2019-09-17T15:17Z","NEON.DOC.003826vD",20.0,5.20,"Left",,"30","stream","Forested","Broad-leaved Deciduous","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Needle-leaved Evergreen","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","N","None","None","Gravel","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"fc175abe-dc80-47cf-857d-e94242c8e05f","D07","LECO","LECO.AOS.riparian.transect.04","LECO.04.20190917.L",,1,35.691685,-83.504135,"WGS84",0.4,544.6,0.8,"2019-09-17T15:17Z","NEON.DOC.003826vD",31.0,3.60,"Left",,"30","stream","Forested","Broad-leaved Deciduous","AEFL","Aesculus flava Aiton","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"ffb54152-aa2b-4709-9ccf-d14d2f690db0","D07","LECO","LECO.AOS.riparian.transect.08","LECO.08.20190917.L",,1,35.689215,-83.503366,"WGS84",0.4,560.4,0.8,"2019-09-17T15:17Z","NEON.DOC.003826vD",92.0,8.80,"Left",,"50","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"de6378eb-eb90-4edc-a25a-c3c97c4f2d80","D07","LECO","LECO.AOS.riparian.transect.07","LECO.07.20190917.L",,1,35.690488,-83.503566,"WGS84",0.5,556.3,1.0,"2019-09-17T15:17Z","NEON.DOC.003826vD",22.0,4.30,"Left",,"50","stream","Forested","Broad-leaved Deciduous","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"0afad156-6990-4b98-9f4e-5c2e2aa27987","D07","LECO","LECO.AOS.riparian.transect.07","LECO.07.20190917.R",,1,35.690488,-83.503566,"WGS84",0.5,556.3,1.0,"2019-09-17T15:17Z","NEON.DOC.003826vD",22.0,4.30,"Right",,"30","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Heavy (40 to 75 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"8dcb1ba6-ff86-45c0-946e-ebe18cdf4d8f","D07","LECO","LECO.AOS.riparian.transect.02","LECO.02.20190917.L",,1,35.692239,-83.504794,"WGS84",0.6,541.5,0.7,"2019-09-17T15:17Z","NEON.DOC.003826vD",56.0,6.20,"Left",,"50","stream","Forested","Broad-leaved Deciduous","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Needle-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Heavy (40 to 75 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"4ada2dd9-0398-40fe-a48c-439c65292617","D07","LECO","LECO.AOS.riparian.transect.05","LECO.05.20190917.L",,1,35.691221,-83.504090,"WGS84",0.5,550.2,0.6,"2019-09-17T15:17Z","NEON.DOC.003826vD",13.0,7.30,"Left",,"40","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"47ef2171-0240-4851-8c2f-839258d58fb0","D07","LECO","LECO.AOS.riparian.transect.03","LECO.03.20190917.R",,1,35.692241,-83.504535,"WGS84",0.7,539.7,1.0,"2019-09-17T15:17Z","NEON.DOC.003826vD",20.0,5.20,"Right",,"10","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Vertical (> 75 degrees)","N","None","None","Boulder or Cobble","Mix",,"0000-0003-3518-7795","0000-0002-6187-2510",
"c3fd9dd8-a2e9-4b87-a7a9-dc0f34a86d0e","D07","LECO","LECO.AOS.riparian.transect.05","LECO.05.20190917.R",,1,35.691221,-83.504090,"WGS84",0.5,550.2,0.6,"2019-09-17T15:17Z","NEON.DOC.003826vD",13.0,7.30,"Right",,"40","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","N","None","None","Mix","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
